KLUB,DLA,PRZECIW,% WYK.,% WYK.przeciw,BILANS
Cracovia,54,51,"29,63%","41,18%",3
Górnik Z,58,59,"39,66%","30,51%",-1
Jagiellonia,84,40,"48,81%","35,00%",44
Korona,48,50,"50,00%","40,00%",-2
Lech,59,47,"37,29%","36,17%",12
Legia,62,45,"30,65%","48,89%",17
ŁKS,34,81,"32,35%","45,68%",-47
Piast,49,28,"36,73%","32,14%",21
Pogoń,69,48,"33,33%","45,83%",21
Puszcza,41,66,"39,02%","36,36%",-25
Radomiak,58,71,"29,31%","36,62%",-13
Raków,74,37,"33,78%","35,14%",37
Ruch,49,65,"36,73%","41,54%",-16
Stal,38,66,"55,26%","30,30%",-28
Śląsk,62,35,"37,10%","34,29%",27
Warta,28,51,"35,71%","37,25%",-23
Widzew,46,65,"36,96%","40,00%",-19
Zagłębie,58,66,"39,66%","30,30%",-8
