KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Cracovia,5,3,2,0,5,0,3,2,7,0,3,4
Górnik Zabrze,5,3,1,1,7,3,1,3,5,0,1,4
Jagiellonia,5,4,1,0,7,2,2,3,5,0,3,2
Korona Kielce,1,1,0,0,7,0,5,2,9,1,1,7
Lech Poznań,5,3,2,0,6,1,4,1,6,1,1,4
Legia Warszawa,7,5,2,0,6,3,1,2,4,0,2,2
ŁKS Łódź,0,0,0,0,3,1,0,2,14,0,1,13
Piast Gliwice,3,1,2,0,9,1,5,3,5,0,2,3
Pogoń Szczecin,4,4,0,0,9,3,3,3,4,0,2,2
Puszcza Niepołomice,4,2,1,1,7,0,3,4,6,0,1,5
Radomiak Radom,3,3,0,0,6,3,2,1,8,0,1,7
Raków Częstochowa,4,2,2,0,6,2,3,1,7,0,0,7
Ruch Chorzów,5,1,2,2,3,1,1,1,9,0,4,5
Stal Mielec,2,2,0,0,8,0,4,4,7,1,0,6
Śląsk Wrocław,5,4,1,0,7,3,4,0,5,2,0,3
Warta Poznań,5,2,3,0,7,2,2,3,5,0,0,5
Widzew Łódź,5,2,1,2,8,1,4,3,4,1,1,2
Zagłębie Lubin,7,5,2,0,0,0,0,0,10,1,1,8
