KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"1,88","1,47",45%,"15,06","5,00","5,65","4,41","33,20%","11,33%","6,76","1,53","2,59","13,29","2,18","0,06",CRA
Górnik Zabrze,"1,35","0,82",49%,"12,18","4,71","4,12","3,35","38,65%","10,63%","5,24","0,82","2,24","14,06","2,29","0,18",GÓR
Jagiellonia,"2,71","0,94",57%,"14,71","5,47","5,65","3,59","37,20%","18,00%","5,53","2,24","2,35","11,18","1,88","0,06",JAG
Korona Kielce,"1,65","1,18",50%,"13,76","4,35","5,35","4,06","31,62%","10,68%","4,35","1,76","2,12","12,88","2,29","0,06",KOR
Lech Poznań,"1,71","0,94",60%,"12,65","4,94","4,53","3,18","39,07%","13,49%","6,41","1,76","2,76","14,53","2,12","0,06",LPO
Legia Warszawa,"1,53","1,00",59%,"15,35","5,18","5,82","4,35","33,72%","9,96%","6,94","1,59","1,47","14,12","2,76","0,18",LEG
ŁKS Łódź,"1,35","1,94",49%,"11,24","3,35","4,35","3,53","29,84%","12,04%","4,18","1,76","3,53","14,47","2,71","0,12",ŁKS
Piast Gliwice,"1,47","0,88",50%,"12,12","4,47","4,12","3,53","36,89%","11,65%","5,18","1,41","1,76","13,94","2,18","0,00",PIA
Pogoń Szczecin,"2,06","1,47",56%,"16,18","5,53","5,88","4,76","34,18%","11,64%","7,29","1,53","2,18","9,35","1,41","0,00",POG
Puszcza Niepołomice,"1,35","1,18",37%,"10,76","4,00","3,88","2,88","37,16%","12,57%","4,35","2,00","3,35","16,71","3,12","0,12",PUN
Radomiak Radom,"1,18","1,65",50%,"14,00","4,35","6,47","3,18","31,09%","7,56%","6,06","1,94","2,65","12,53","2,47","0,06",RAD
Raków Częstochowa,"1,94","0,65",54%,"13,82","5,12","5,24","3,47","37,02%","13,19%","5,59","1,76","2,00","13,59","1,88","0,06",RCZ
Ruch Chorzów,"1,24","1,29",49%,"13,82","4,06","5,82","3,94","29,36%","8,94%","4,94","1,47","2,53","12,88","2,00","0,12",RCH
Stal Mielec,"1,47","1,00",48%,"9,76","4,12","3,59","2,06","42,17%","15,06%","3,82","1,35","3,41","12,18","1,65","0,12",STM
Śląsk Wrocław,"1,59","0,82",47%,"13,12","5,76","4,41","2,94","43,95%","12,11%","4,53","0,76","1,82","11,41","1,94","0,00",ŚLĄ
Warta Poznań,"1,00","1,06",43%,"8,29","2,82","3,18","2,29","34,04%","11,35%","3,88","1,29","2,29","15,06","2,24","0,06",WAR
Widzew Łódź,"1,24","1,24",54%,"14,12","4,94","5,41","3,76","35,00%","8,33%","6,65","2,12","2,71","11,41","1,76","0,12",WID
Zagłębie Lubin,"1,12","1,06",52%,"15,47","5,18","5,65","4,65","33,46%","7,22%","6,12","1,59","2,65","12,00","1,65","0,24",ZAG
