KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Cracovia,4,2,2,0,10,1,3,6
Górnik Zabrze,9,5,2,2,8,1,1,6
Jagiellonia,9,6,1,2,8,0,5,3
Korona Kielce,2,1,0,1,12,1,3,8
Lech Poznań,7,4,3,0,7,1,1,5
Legia Warszawa,9,7,2,0,8,1,3,4
ŁKS Łódź,1,1,0,0,16,0,1,15
Piast Gliwice,5,2,2,1,9,0,4,5
Pogoń Szczecin,7,6,1,0,8,1,2,5
Puszcza Niepołomice,7,2,2,3,8,0,1,7
Radomiak Radom,7,6,0,1,8,0,1,7
Raków Częstochowa,7,3,3,1,9,1,1,7
Ruch Chorzów,5,2,1,2,11,0,5,6
Stal Mielec,4,3,0,1,12,0,3,9
Śląsk Wrocław,8,6,2,0,7,3,1,3
Warta Poznań,8,4,4,0,8,0,0,8
Widzew Łódź,6,3,1,2,10,1,4,5
Zagłębie Lubin,6,5,1,0,11,1,2,8
