KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Cracovia,10,5,5,0,6,0,1,5
Górnik Zabrze,12,9,3,0,3,0,0,3
Jagiellonia,11,10,0,1,5,2,2,1
Korona Kielce,9,6,3,0,8,0,5,3
Lech Poznań,9,7,1,1,6,2,1,3
Legia Warszawa,10,8,2,0,5,0,2,3
ŁKS Łódź,9,4,4,1,8,1,1,6
Piast Gliwice,11,7,3,1,2,0,0,2
Pogoń Szczecin,7,6,0,1,10,3,2,5
Puszcza Niepołomice,13,6,6,1,4,1,2,1
Radomiak Radom,7,4,2,1,10,0,3,7
Raków Częstochowa,11,9,1,1,6,1,4,1
Ruch Chorzów,7,4,2,1,7,0,2,5
Stal Mielec,6,5,1,0,6,3,0,3
Śląsk Wrocław,11,9,1,1,4,0,1,3
Warta Poznań,8,5,3,0,7,0,0,7
Widzew Łódź,8,7,0,1,9,2,1,6
Zagłębie Lubin,11,6,4,1,5,1,0,4
