ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Burak Ince,Śląsk,"75,0%","100,0%",-,5,4,"80,0%",2,"2,50","40,0%",4
Kamil Glik,Cracovia,"0,0%",-,"66,7%",7,4,"57,1%",2,"3,50","28,6%",2
Kaan Caliskaner,Jagiellonia,"100,0%","66,7%","33,3%",7,4,"57,1%",2,"3,50","28,6%",5
Tomasz Wojcinowicz,Puszcza,"50,0%","66,7%","50,0%",7,4,"57,1%",0,-,"0,0%",2
Jardel,Radomiak,"33,3%","60,0%",-,8,4,"50,0%",2,"4,00","25,0%",4
Bartłomiej Barański,Ruch,"0,0%","60,0%","100,0%",8,4,"50,0%",1,"8,00","12,5%",1
Srdan Plavsić,Raków,"50,0%","33,3%",-,9,4,"44,4%",1,"9,00","11,1%",23
Sonny Kittel,Raków,"0,0%","50,0%","50,0%",10,4,"40,0%",3,"3,33","30,0%",17
Martin Konczkowski,Śląsk,"25,0%","40,0%","100,0%",10,4,"40,0%",1,"10,00","10,0%",17
Jordan Majchrzak,Puszcza,"40,0%","25,0%","100,0%",10,4,"40,0%",1,"10,00","10,0%",7
Konrad Matuszewski,Warta,"28,6%","66,7%",-,10,4,"40,0%",1,"10,00","10,0%",28
Joel Pereira,Lech,"66,7%","28,6%",-,10,4,"40,0%",2,"5,00","20,0%",45
Ernest Terpiłowski,Widzew,"50,0%","42,9%","0,0%",10,4,"40,0%",1,"10,00","10,0%",16
Michał Trąbka,Stal,"100,0%","33,3%",-,10,4,"40,0%",1,"10,00","10,0%",14
Miha Blazic,Lech,-,"20,0%","50,0%",11,4,"36,4%",1,"11,00","9,1%",1
Mateusz Bochnak,Cracovia,"75,0%","14,3%",-,11,4,"36,4%",0,-,"0,0%",9
Alan Czerwiński,Lech,-,"28,6%","50,0%",11,4,"36,4%",1,"11,00","9,1%",17
Bert Esselink,Stal,"0,0%",-,"40,0%",11,4,"36,4%",2,"5,50","18,2%",4
Miłosz Trojak,Korona,-,"42,9%","25,0%",11,4,"36,4%",2,"5,50","18,2%",9
Rahil Mammadov,ŁKS,"0,0%","50,0%","42,9%",11,4,"36,4%",0,-,"0,0%",5
Yuri Ribeiro,Legia,"50,0%","50,0%","0,0%",12,4,"33,3%",0,-,"0,0%",23
Ryoya Morishita,Legia,"0,0%","33,3%","100,0%",12,4,"33,3%",0,-,"0,0%",7
Danny Trejo,Korona,"16,7%","66,7%","0,0%",12,4,"33,3%",2,"6,00","16,7%",9
Damjan Bohar,Zagłębie,"100,0%","25,0%",-,13,4,"30,8%",1,"13,00","7,7%",4
Mateusz Grzybek,Zagłębie,"100,0%","30,0%","0,0%",13,4,"30,8%",1,"13,00","7,7%",18
Paweł Jaroszyński,Cracovia,"36,4%","0,0%",-,13,4,"30,8%",3,"4,33","23,1%",18
Patryk Kun,Legia,"40,0%","28,6%","0,0%",13,4,"30,8%",1,"13,00","7,7%",20
Marcin Flis,ŁKS,"22,2%","0,0%","50,0%",14,4,"28,6%",0,-,"0,0%",2
Patryk Sikora,Ruch,"0,0%","33,3%","0,0%",16,4,"25,0%",1,"16,00","6,3%",14
Mateusz Czyżycki,Korona,"20,0%","25,0%",-,17,4,"23,5%",1,"17,00","5,9%",8
Marek Hanousek,Widzew,"33,3%","0,0%","66,7%",17,4,"23,5%",0,-,"0,0%",12
Jakub Serafin,Puszcza,"0,0%","28,6%",-,17,4,"23,5%",0,-,"0,0%",36
Luis Machado,Radomiak,"0,0%","20,0%","50,0%",18,4,"22,2%",1,"18,00","5,6%",18
Afonso Sousa,Lech,"0,0%","23,5%","0,0%",19,4,"21,1%",0,-,"0,0%",12
Frank Castaneda,Radomiak,"66,7%","13,3%","0,0%",19,4,"21,1%",1,"19,00","5,3%",13
Joao Gamboa,Pogoń,"0,0%","25,0%","16,7%",20,4,"20,0%",0,-,"0,0%",13
Rafał Kurzawa,Pogoń,"18,2%",-,-,22,4,"18,2%",1,"22,00","4,5%",22
Arkadiusz Pyrka,Piast,"16,7%","18,8%",-,22,4,"18,2%",0,-,"0,0%",54
Kamil Dankowski,ŁKS,"100,0%","9,5%","33,3%",25,4,"16,0%",0,-,"0,0%",18
Tomasz Wójtowicz,Ruch,"20,0%","13,3%",-,25,4,"16,0%",2,"12,50","8,0%",20
Marco Ehmann,Stal,"50,0%","100,0%","50,0%",5,3,"60,0%",0,-,"0,0%",2
Niilo Maenpaa,Warta,"0,0%","100,0%","100,0%",5,3,"60,0%",0,-,"0,0%",8
Simeon Petrow,Śląsk,-,"100,0%","50,0%",5,3,"60,0%",1,"5,00","20,0%",1
Mateusz Cichocki,Radomiak,"50,0%",-,"50,0%",6,3,"50,0%",1,"6,00","16,7%",2
Jakub Holubek,Piast,"66,7%","0,0%","100,0%",6,3,"50,0%",0,-,"0,0%",4
Rok Kidric,Puszcza,-,"100,0%","40,0%",6,3,"50,0%",1,"6,00","16,7%",4
Mateusz Matras,Stal,-,"50,0%","50,0%",6,3,"50,0%",3,"2,00","50,0%",12
Maciej Firlej,Ruch/Puszcza,"0,0%","100,0%","50,0%",7,3,"42,9%",0,-,"0,0%",3
Juan Ibiza,Widzew,"66,7%",-,"25,0%",7,3,"42,9%",1,"7,00","14,3%",6
Jakub Lewicki,Jagiellonia,"42,9%",-,-,7,3,"42,9%",2,"3,50","28,6%",4
Dawid Szymonowicz,Warta,"0,0%","100,0%","50,0%",7,3,"42,9%",1,"7,00","14,3%",5
Benedikt Zech,Pogoń,"100,0%","0,0%","33,3%",7,3,"42,9%",0,-,"0,0%",5
Noah Diliberto,Widzew,"0,0%","50,0%",-,7,3,"42,9%",1,"7,00","14,3%",4
Łukasz Bejger,Śląsk,"0,0%","40,0%","50,0%",8,3,"37,5%",1,"8,00","12,5%",4
Dino Hotić,Lech,"33,3%","50,0%","33,3%",8,3,"37,5%",0,-,"0,0%",18
Tomas Huk,Piast,-,"0,0%","42,9%",8,3,"37,5%",2,"4,00","25,0%",2
Jakub Konstantyn,Korona,"50,0%","0,0%","0,0%",8,3,"37,5%",1,"8,00","12,5%",9
Radovan Pankov,Legia,"0,0%","50,0%","40,0%",8,3,"37,5%",2,"4,00","25,0%",12
Michał Rzuchowski,Śląsk,-,"50,0%","0,0%",8,3,"37,5%",1,"8,00","12,5%",9
Mohamed Mezghrani,Warta,"0,0%","50,0%","0,0%",8,3,"37,5%",0,-,"0,0%",10
Piotr Krawczyk,Górnik Z,"42,9%","0,0%","0,0%",9,3,"33,3%",1,"9,00","11,1%",6
Bartłomiej Poczobut,Puszcza,"0,0%","37,5%",-,9,3,"33,3%",1,"9,00","11,1%",2
Wojciech Hajda,Puszcza,-,"33,3%","0,0%",10,3,"30,0%",1,"10,00","10,0%",11
Yoav Hofmeister,Korona,"40,0%","0,0%","25,0%",10,3,"30,0%",1,"10,00","10,0%",12
Jakub Łukowski,Korona,-,"30,0%",-,10,3,"30,0%",0,-,"0,0%",5
Mikkel Maigaard,Cracovia,"33,3%","33,3%","0,0%",10,3,"30,0%",0,-,"0,0%",4
Maciej Sadlok,Ruch,"20,0%","100,0%",-,11,3,"27,3%",0,-,"0,0%",16
Szymon Szymański,Ruch,"33,3%","33,3%","0,0%",11,3,"27,3%",0,-,"0,0%",11
Vagner Dias,Radomiak,"75,0%","0,0%","0,0%",11,3,"27,3%",2,"5,50","18,2%",9
Kamil Cybulski,Widzew,"0,0%","33,3%",-,11,3,"27,3%",0,-,"0,0%",4
Gil Dias,Legia,"12,5%","50,0%","50,0%",12,3,"25,0%",0,-,"0,0%",2
Bartłomiej Kłudka,Zagłębie,"0,0%","27,3%",-,12,3,"25,0%",1,"12,00","8,3%",12
Ben Lederman,Raków,"25,0%",-,-,12,3,"25,0%",0,-,"0,0%",20
Cornel Rapa,Cracovia,"100,0%","18,2%","0,0%",13,3,"23,1%",0,-,"0,0%",14
Piotr Głowacki,ŁKS,"25,0%","16,7%",-,14,3,"21,4%",0,-,"0,0%",18
Rafał Janicki,Górnik Z,"0,0%","0,0%","25,0%",14,3,"21,4%",2,"7,00","14,3%",5
Antonio Milić,Lech,"0,0%",-,"27,3%",14,3,"21,4%",1,"14,00","7,1%",3
Hubert Tomalski,Puszcza,"33,3%","12,5%",-,14,3,"21,4%",0,-,"0,0%",9
Kamil Wilczek,Piast,"16,7%","50,0%","16,7%",14,3,"21,4%",2,"7,00","14,3%",1
Piotr Janczukowicz,ŁKS,"0,0%","33,3%","0,0%",15,3,"20,0%",2,"7,50","13,3%",7
Kacper Michalski,Ruch,"40,0%","12,5%","0,0%",15,3,"20,0%",1,"15,00","6,7%",13
Marek Mróz,Zagłębie,"0,0%","21,4%",-,15,3,"20,0%",1,"15,00","6,7%",18
Robert Dadok,Górnik Z/Ruch,"25,0%","22,2%","0,0%",16,3,"18,8%",1,"16,00","6,3%",15
Matthew Guillaumier,Stal,"0,0%","25,0%","0,0%",16,3,"18,8%",2,"8,00","12,5%",11
Takuto Oshima,Cracovia,"20,0%","18,2%",-,16,3,"18,8%",0,-,"0,0%",17
Peter Pokorny,Śląsk,"0,0%","23,1%",-,16,3,"18,8%",0,-,"0,0%",12
Nika Kwekweskiri,Lech,"50,0%","11,8%",-,19,3,"15,8%",1,"19,00","5,3%",16
Juergen Elitim,Legia,"11,1%","25,0%",-,22,3,"13,6%",1,"22,00","4,5%",49
Luizao,Radomiak,"0,0%","13,6%",-,23,3,"13,0%",0,-,"0,0%",14
Piotr Wlazło,Stal,"0,0%","12,5%","25,0%",23,3,"13,0%",1,"23,00","4,3%",24
Michał Mokrzycki,ŁKS,"0,0%","12,5%",-,26,3,"11,5%",0,-,"0,0%",31
Michał Gurgul,Lech,"100,0%",-,"100,0%",2,2,"100,0%",1,"2,00","50,0%",1
Aleksander Paluszek,Śląsk,-,-,"100,0%",2,2,"100,0%",1,"2,00","50,0%",2
Mike Huras,Ruch,"100,0%","100,0%",-,2,2,"100,0%",0,-,"0,0%",0
Dennis Jastrzembski,Śląsk,"50,0%","100,0%",-,3,2,"66,7%",0,-,"0,0%",3
Steve Kapuadi,Legia,"0,0%",-,"100,0%",3,2,"66,7%",1,"3,00","33,3%",5
Kamil Kruk,Zagłębie,-,"100,0%","50,0%",3,2,"66,7%",0,-,"0,0%",0
Michal Siplak,Górnik Z,"66,7%",-,-,3,2,"66,7%",1,"3,00","33,3%",7
Jędrzej Zając J,ŁKS,"0,0%","100,0%",-,3,2,"66,7%",1,"3,00","33,3%",1
Krystian Okoniewski,Radomiak,"0,0%","100,0%","100,0%",3,2,"66,7%",0,-,"0,0%",0
Filip Dagerstal,Lech,-,"0,0%","66,7%",4,2,"50,0%",1,"4,00","25,0%",1
Mato Milos,Widzew,"50,0%","0,0%","100,0%",4,2,"50,0%",0,-,"0,0%",13
Artur Sobiech,Lech,-,"33,3%","100,0%",4,2,"50,0%",0,-,"0,0%",5
Łukasz Wolsztyński,Stal,"0,0%","100,0%","0,0%",4,2,"50,0%",2,"2,00","50,0%",4
Patryk Paryzek,Pogoń,"66,7%","0,0%",-,4,2,"50,0%",1,"4,00","25,0%",0
Guilherme Zimovski,Radomiak,-,"66,7%","0,0%",4,2,"50,0%",1,"4,00","25,0%",1
Elias Andersson,Lech,"40,0%",-,-,5,2,"40,0%",0,-,"0,0%",21
Barry Douglas,Lech,"33,3%",-,"50,0%",5,2,"40,0%",0,-,"0,0%",6
Tomas Podstawski,Ruch,"0,0%","50,0%","50,0%",5,2,"40,0%",1,"5,00","20,0%",5
Przemysław Szur,Ruch,-,"0,0%","50,0%",5,2,"40,0%",1,"5,00","20,0%",1
Filip Wilak,Lech/Ruch,-,"50,0%","0,0%",5,2,"40,0%",0,-,"0,0%",8
Soichiro Kozuki,Górnik Z,"66,7%","0,0%",-,5,2,"40,0%",1,"5,00","20,0%",3
Joao Peglow,Radomiak,"0,0%","50,0%",-,5,2,"40,0%",0,-,"0,0%",3
Fredrik Krogstad,Korona,"100,0%","33,3%","0,0%",5,2,"40,0%",0,-,"0,0%",6
Artur Jędrzejczyk,Legia,-,"0,0%","40,0%",6,2,"33,3%",0,-,"0,0%",7
Gabriel Kirejczyk,Piast,-,"33,3%","33,3%",6,2,"33,3%",0,-,"0,0%",3
Jakub Letniowski,ŁKS,-,"20,0%","100,0%",6,2,"33,3%",0,-,"0,0%",7
Muris Mesanović,Puszcza,"0,0%","0,0%","100,0%",6,2,"33,3%",0,-,"0,0%",5
Bogdan Tiru,Warta,-,"0,0%","40,0%",6,2,"33,3%",0,-,"0,0%",4
Thiago,Puszcza,"0,0%","40,0%",-,6,2,"33,3%",0,-,"0,0%",2
Filipe Nascimento,Górnik Z,"33,3%","0,0%",-,7,2,"28,6%",1,"7,00","14,3%",4
Alvis Jaunzems,Stal,"50,0%","20,0%",-,7,2,"28,6%",1,"7,00","14,3%",8
Marcel Pięczek,Puszcza/Korona,"33,3%",-,"0,0%",7,2,"28,6%",0,-,"0,0%",20
Dominik Steczyk,Ruch,"50,0%","0,0%","50,0%",7,2,"28,6%",0,-,"0,0%",2
Marcel Wędrychowski,Pogoń,"25,0%","0,0%","100,0%",7,2,"28,6%",1,"7,00","14,3%",9
Jin-hyun Lee,Puszcza,"33,3%","0,0%",-,7,2,"28,6%",0,-,"0,0%",9
Eneo Bitri,Cracovia,-,"0,0%","40,0%",7,2,"28,6%",1,"7,00","14,3%",0
Kryspin Szcześniak,Górnik Z,-,"0,0%","33,3%",8,2,"25,0%",1,"8,00","12,5%",6
Wiktor Pleśnierowicz,Warta,"0,0%","50,0%","16,7%",9,2,"22,2%",0,-,"0,0%",3
Dalibor Takac,Korona,"0,0%","33,3%",-,9,2,"22,2%",0,-,"0,0%",10
Mateusz Bartolewski,Ruch,"0,0%",-,"40,0%",10,2,"20,0%",2,"5,00","20,0%",16
Łukasz Gerstenstein,Stal,-,"22,2%","0,0%",10,2,"20,0%",2,"5,00","20,0%",14
Antoni Młynarczyk,ŁKS,"0,0%","25,0%","100,0%",10,2,"20,0%",1,"10,00","10,0%",4
Deian Sorescu,Raków,"33,3%","0,0%","50,0%",10,2,"20,0%",1,"10,00","10,0%",6
Dimitris Stavropoulos,Warta,"0,0%","0,0%","33,3%",10,2,"20,0%",1,"10,00","10,0%",5
Igor Strzałek,Legia/Stal,"33,3%","14,3%",-,10,2,"20,0%",1,"10,00","10,0%",6
Marcin Cebula,Raków,-,"18,2%","0,0%",12,2,"16,7%",1,"12,00","8,3%",15
Patryk Janasik,Śląsk,-,"16,7%",-,12,2,"16,7%",0,-,"0,0%",12
Michał Kaput,Radomiak,"0,0%","0,0%","66,7%",12,2,"16,7%",0,-,"0,0%",9
Filip Borowski,Warta,"0,0%","25,0%","0,0%",13,2,"15,4%",0,-,"0,0%",9
Piotr Malarczyk,Korona,"0,0%","25,0%","0,0%",13,2,"15,4%",0,-,"0,0%",7
Adrian Dieguez,Jagiellonia,"14,3%","0,0%","16,7%",15,2,"13,3%",0,-,"0,0%",15
Michal Sacek,Jagiellonia,"0,0%","18,2%",-,15,2,"13,3%",1,"15,00","6,7%",17
Dawid Tkacz,Widzew,"16,7%","0,0%","0,0%",15,2,"13,3%",0,-,"0,0%",9
Leonardo Koutris,Pogoń,"14,3%","0,0%",-,18,2,"11,1%",1,"18,00","5,6%",36
Marcel Bykowski,Piast,"100,0%",-,-,1,1,"100,0%",0,-,"0,0%",0
Paweł Kwiatkowski,Widzew,-,-,"100,0%",1,1,"100,0%",0,-,"0,0%",0
Kacper Smoliński,Pogoń,"100,0%",-,-,1,1,"100,0%",1,"1,00","100,0%",1
Paweł Stolarski,Pogoń,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Gabriel Kobylak,Radomiak,-,"100,0%",-,1,1,"100,0%",1,"1,00","100,0%",1
Tom Hateley,Piast,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",1
Maksymilian Pingot,Stal,-,-,"100,0%",1,1,"100,0%",0,-,"0,0%",0
Alex Cetnar,Stal,-,"100,0%",-,1,1,"100,0%",0,-,"0,0%",0
Zoran Arsenić,Raków,-,"0,0%","100,0%",2,1,"50,0%",0,-,"0,0%",6
Adrian Małachowski,ŁKS,"0,0%","100,0%",-,2,1,"50,0%",0,-,"0,0%",3
Dominik Szala,Górnik Z,"0,0%",-,"100,0%",2,1,"50,0%",0,-,"0,0%",0
Serafin Szota,Widzew,-,"0,0%","100,0%",2,1,"50,0%",0,-,"0,0%",2
Marcel Zylla,Śląsk,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",1
Ivi Lopez,Raków,-,"50,0%",-,2,1,"50,0%",0,-,"0,0%",2
Aleksander Iwańczyk,ŁKS,-,"0,0%","100,0%",2,1,"50,0%",1,"2,00","50,0%",1
