ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Paweł Baranowski,Ruch,-,-,"33,3%",3,1,"33,3%",0,-,"0,0%",1
Jurgen Celhaka,Legia,"0,0%","50,0%",-,3,1,"33,3%",0,-,"0,0%",7
Tomasz Kupisz,Jagiellonia,"0,0%","0,0%","100,0%",3,1,"33,3%",0,-,"0,0%",4
Danijel Loncar,Pogoń,"100,0%","0,0%","0,0%",3,1,"33,3%",1,"3,00","33,3%",1
Miłosz Matysik,Jagiellonia,"100,0%",-,"0,0%",3,1,"33,3%",0,-,"0,0%",1
Jakub Myszor,Cracovia/Raków,-,"33,3%",-,3,1,"33,3%",0,-,"0,0%",4
Filip Rózga,Cracovia,"33,3%",-,-,3,1,"33,3%",0,-,"0,0%",5
Alen Mustafić,Śląsk,"100,0%","0,0%",-,3,1,"33,3%",0,-,"0,0%",2
Wojciech Urbański,Legia,"0,0%","50,0%",-,3,1,"33,3%",0,-,"0,0%",4
Mike Cestor,Radomiak,-,-,"25,0%",4,1,"25,0%",0,-,"0,0%",3
Jakub Jugas,Cracovia,-,"50,0%","0,0%",4,1,"25,0%",0,-,"0,0%",7
Sebastian Kerk,Widzew,"25,0%",-,-,4,1,"25,0%",0,-,"0,0%",3
Michał Koj,Puszcza,"33,3%",-,"0,0%",4,1,"25,0%",1,"4,00","25,0%",5
Patryk Szwedzik,Śląsk,"0,0%","33,3%",-,4,1,"25,0%",1,"4,00","25,0%",1
Artemijus Tutyskinas,ŁKS,"0,0%",-,"100,0%",4,1,"25,0%",1,"4,00","25,0%",4
Kenneth Zohore,Śląsk,"0,0%","100,0%","0,0%",4,1,"25,0%",0,-,"0,0%",0
David Kristjan Olafsson,Cracovia,"25,0%",-,-,4,1,"25,0%",1,"4,00","25,0%",13
Makana Baku,Legia,"33,3%","0,0%","0,0%",5,1,"20,0%",1,"5,00","20,0%",11
Jakub Bartkowski,Warta,"0,0%","0,0%","50,0%",5,1,"20,0%",0,-,"0,0%",15
Marco Burch,Legia,"0,0%","0,0%","50,0%",5,1,"20,0%",0,-,"0,0%",1
Ali Gholizadeh,Lech,"20,0%",-,-,5,1,"20,0%",0,-,"0,0%",4
Jakub Kiełb,Warta,"25,0%","0,0%",-,5,1,"20,0%",0,-,"0,0%",11
Boris Sekulić,Górnik Z,"0,0%","0,0%","100,0%",5,1,"20,0%",0,-,"0,0%",21
Patryk Stępiński,Widzew/Ruch,"100,0%","0,0%","0,0%",5,1,"20,0%",1,"5,00","20,0%",4
Maciej Śliwa,ŁKS,-,"25,0%","0,0%",5,1,"20,0%",0,-,"0,0%",0
Marius Briceag,Korona,"16,7%",-,-,6,1,"16,7%",0,-,"0,0%",20
Marcus Godinho,Korona,"0,0%","20,0%",-,6,1,"16,7%",0,-,"0,0%",17
Wojciech Łaski,Jagiellonia,"0,0%","50,0%","0,0%",6,1,"16,7%",1,"6,00","16,7%",0
Mateusz Stępień,Stal,"0,0%","25,0%",-,6,1,"16,7%",0,-,"0,0%",6
Miłosz Strzeboński,Korona,"0,0%","25,0%",-,6,1,"16,7%",0,-,"0,0%",0
Bartosz Salamon,Lech,"0,0%","33,3%","0,0%",6,1,"16,7%",0,-,"0,0%",5
Damian Jakubik,Radomiak,"0,0%","0,0%","50,0%",7,1,"14,3%",0,-,"0,0%",2
Jan Grzesik,Radomiak,"0,0%","16,7%","0,0%",9,1,"11,1%",1,"9,00","11,1%",16
Josema,Ruch,"0,0%",-,"100,0%",9,1,"11,1%",1,"9,00","11,1%",5
Bruno Jordao,Radomiak,"50,0%","0,0%",-,9,1,"11,1%",0,-,"0,0%",10
Leo Borges,Pogoń,"0,0%","50,0%","0,0%",11,1,"9,1%",1,"11,00","9,1%",4
Jakub Bielecki,Ruch,-,-,-,0,0,-,0,-,-,1
Daniel Bielica,Górnik Z,-,-,-,0,0,-,0,-,-,1
Cameron Borthwick,Śląsk,-,-,-,0,0,-,0,-,-,1
Ignacy Dawid,Widzew,-,-,-,0,0,-,0,-,-,1
Wiktor Kamiński,Warta,-,-,-,0,0,-,0,-,-,1
Mikkel Kirkeskov,Zagłębie,-,-,-,0,0,-,0,-,-,6
Bartłomiej Kolec,Cracovia,-,-,-,0,0,-,0,-,-,1
Olaf Korczakowski,Pogoń,-,-,-,0,0,-,0,-,-,1
Rafał Leszczyński,Śląsk,-,-,-,0,0,-,0,-,-,2
Mieszko Lorenc,ŁKS,-,-,-,0,0,-,0,-,-,2
Sebastian Madejski,Cracovia,-,-,-,0,0,-,0,-,-,1
Aurelien Nguiamba,Jagiellonia,-,-,-,0,0,-,0,-,-,2
Kamil Pajnowski,Stal,-,-,-,0,0,-,0,-,-,2
Frantisek Plach,Piast,-,-,-,0,0,-,0,-,-,2
Yadegar Rostami,Pogoń/ŁKS,-,-,-,0,0,-,0,-,-,1
Jan Sedlak,Ruch,-,-,-,0,0,-,0,-,-,1
Andreas Skovgaard,Cracovia,-,-,-,0,0,-,0,-,-,12
Dante Stipica,Pogoń/Ruch,-,-,-,0,0,-,0,-,-,1
Kacper Tobiasz,Legia,-,-,-,0,0,-,0,-,-,1
Szymon Weirauch,Zagłębie,-,-,-,0,0,-,0,-,-,1
Thiago Ceijas,ŁKS,-,-,-,0,0,-,0,-,-,1
Jędrzej Grobelny,Warta,-,-,-,0,0,-,0,-,-,1
Kamil Pestka,Raków,-,-,-,0,0,-,0,-,-,1
Oskar Koprowski,ŁKS,-,-,-,0,0,-,0,-,-,1
Filip Kocaba,Zagłębie,-,-,-,0,0,-,0,-,-,1
Roberto Alves,Radomiak,"0,0%",-,-,3,0,"0,0%",0,-,"0,0%",11
Norbert Barczak,Górnik Z,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",3
Daniel Bąk D,Korona,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Karol Borys,Śląsk,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Mateusz Chmarek,Górnik Z,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Wiktor Długosz,Ruch,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",3
Anton Fase,ŁKS,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Tomasz Foszmańczyk,Ruch,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",2
Tornike Gaprindaszwili,Zagłębie,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",0
Richard Jensen,Górnik Z,"0,0%",-,"0,0%",2,0,"0,0%",0,-,"0,0%",2
Konrad Kasolik,Ruch,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Alexandros Katranis,Piast,"0,0%",-,-,4,0,"0,0%",0,-,"0,0%",13
Tihomir Kostadinov,Piast,"0,0%","0,0%",-,5,0,"0,0%",0,-,"0,0%",11
Kostas Triantafyllopoulos,górnik Z,-,"0,0%","0,0%",5,0,"0,0%",0,-,"0,0%",0
Adnan Kovacević,Raków,"0,0%",-,"0,0%",5,0,"0,0%",0,-,"0,0%",2
Adam Kramarz,Puszcza,"0,0%",-,-,2,0,"0,0%",0,-,"0,0%",0
Oskar Krzyżak,Raków,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Leandro,Stal,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",0
Leandro Rossi,Radomiak,"0,0%",-,-,6,0,"0,0%",0,-,"0,0%",7
Adrien Louveau,ŁKS,"0,0%","0,0%","0,0%",10,0,"0,0%",0,-,"0,0%",6
Mateusz Łęgowski,Pogoń,-,"0,0%",-,4,0,"0,0%",0,-,"0,0%",3
Mariusz Malec,Pogoń,"0,0%",-,"0,0%",5,0,"0,0%",0,-,"0,0%",4
Adam Marciniak,ŁKS,"0,0%",-,"0,0%",2,0,"0,0%",0,-,"0,0%",0
Luis Mata,Zagłębie,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",12
Nacho Monsalve,ŁKS,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",2
Paweł Olszewski P,Jagiellonia,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Daniel Pik,Radomiak,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Filip Przybułek,Widzew,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Henrich Ravas,Widzew,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",1
Milan Rundić,Raków,"0,0%",-,"0,0%",2,0,"0,0%",0,-,"0,0%",3
Alan Rybak,Jagiellonia,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Rafa Santos,Stal,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",2
Juljan Shehu,Widzew,-,"0,0%","0,0%",8,0,"0,0%",0,-,"0,0%",6
Jakub Stec,Puszcza,-,"0,0%","0,0%",4,0,"0,0%",0,-,"0,0%",1
Dusan Stojinović,Jagiellonia,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",4
Remigiusz Szywacz,Ruch,-,-,"0,0%",1,0,"0,0%",0,-,"0,0%",0
Kacper Śmiglewski,Cracovia,"0,0%","0,0%","0,0%",4,0,"0,0%",0,-,"0,0%",4
Piotr Urbański,Piast,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Matheus Vinicius,Jagiellonia,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",0
Arkadiusz Woźniak,Zagłębie,-,-,"0,0%",3,0,"0,0%",0,-,"0,0%",5
Paweł Zieliński,Widzew,"0,0%","0,0%",-,2,0,"0,0%",0,-,"0,0%",4
Erick Otieno,Raków,"0,0%","0,0%","0,0%",11,0,"0,0%",0,-,"0,0%",10
Peter Barath,Raków,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",2
Riza Durmisi,ŁKS,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",8
Jetmir Haliti,Jagiellonia,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Ioan-Calin Revenco,Puszcza,-,"0,0%","0,0%",3,0,"0,0%",0,-,"0,0%",3
Lirim Kastrati,Widzew,-,"0,0%",-,3,0,"0,0%",0,-,"0,0%",2
Tomasz Mokwa,Piast,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",6
Petteri Forsell,Korona,"0,0%","0,0%",-,4,0,"0,0%",0,-,"0,0%",3
Walerian Gwilia,Piast,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
Qendrim Zyba,Legia,"0,0%","0,0%",-,3,0,"0,0%",0,-,"0,0%",1
Ion Gheorghe,Stal,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",1
Tommaso Guercio,Śląsk,"0,0%",-,-,1,0,"0,0%",0,-,"0,0%",1
Levent Gulen,ŁKS,-,"0,0%","0,0%",4,0,"0,0%",0,-,"0,0%",1
Matej Rodin,Raków,"0,0%",-,"0,0%",2,0,"0,0%",0,-,"0,0%",0
Filip Rejczyk,Legia,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",0
Michał Kopczyński,Warta,-,"0,0%","0,0%",3,0,"0,0%",0,-,"0,0%",0
Jakub Jezierski,Śląsk,-,"0,0%",-,2,0,"0,0%",0,-,"0,0%",2
Mateusz Bąkowicz,ŁKS,-,"0,0%",-,1,0,"0,0%",0,-,"0,0%",0
