ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Zoran Arsenić,Raków,2,0,"0,189","0,095","-0,189","0,189","0,095","-0,189",6,0,"0,268","-0,268"
Mateusz Stępień,Stal,6,0,"0,191","0,032","-0,191","0,191","0,032","-0,191",6,0,"0,585","-0,585"
Ariel Mosór,Piast,16,1,"1,194","0,075","-0,194","1,194","0,075","-0,194",3,1,"0,875","0,125"
Mariusz Malec,Pogoń,5,0,"0,196","0,039","-0,196","0,196","0,039","-0,196",4,0,"0,388","-0,388"
Tomasz Kupisz,Jagiellonia,3,0,"0,198","0,066","-0,198","0,198","0,066","-0,198",4,1,"0,383","0,617"
Karol Borys,Śląsk,1,0,"0,200","0,200","-0,200","0,200","0,200","-0,200",1,0,"0,047","-0,047"
Dalibor Takac,Korona,9,0,"0,206","0,023","-0,206","0,206","0,023","-0,206",10,0,"0,715","-0,715"
Jakub Jugas,Cracovia,4,0,"0,209","0,052","-0,209","0,209","0,052","-0,209",7,0,"0,479","-0,479"
Wiktor Długosz,Ruch,1,0,"0,209","0,209","-0,209","0,209","0,209","-0,209",3,0,"0,275","-0,275"
Paweł Stolarski,Pogoń,1,0,"0,209","0,209","-0,209","0,209","0,209","-0,209",0,0,"0,000","0,000"
Joao Peglow,Radomiak,5,0,"0,215","0,043","-0,215","0,215","0,043","-0,215",3,0,"0,167","-0,167"
Jin-hyun Lee,Puszcza,7,0,"0,217","0,031","-0,217","0,217","0,031","-0,217",9,1,"0,324","0,676"
Robert Dadok,Górnik Z/Ruch,16,1,"1,219","0,076","-0,219","1,219","0,076","-0,219",15,1,"1,296","-0,296"
Barry Douglas,Lech,5,0,"0,232","0,046","-0,232","0,232","0,046","-0,232",6,0,"0,331","-0,331"
Fabio Nunes,Widzew,35,2,"2,237","0,064","-0,237","2,237","0,064","-0,237",31,3,"2,409","0,591"
Stratos Svarnas,Raków,13,1,"1,240","0,095","-0,240","1,240","0,095","-0,240",7,0,"0,679","-0,679"
Kamil Kruk,Zagłębie,3,0,"0,241","0,080","-0,241","0,241","0,080","-0,241",0,0,"0,000","0,000"
Bruno Jordao,Radomiak,9,0,"0,242","0,027","-0,242","0,242","0,027","-0,242",10,1,"0,932","0,068"
Paweł Baranowski,Ruch,3,0,"0,250","0,083","-0,250","0,250","0,083","-0,250",1,0,"0,105","-0,105"
Marko Poletanović,Zagłębie,17,1,"1,255","0,074","-0,255","1,255","0,074","-0,255",13,0,"0,752","-0,752"
Marcel Pięczek,Puszcza/Korona,7,0,"0,255","0,036","-0,255","0,255","0,036","-0,255",20,2,"2,049","-0,049"
