KLUB,BTS,CK,BG
Cracovia,16,10,12
Górnik Zabrze,19,10,7
Jagiellonia,24,9,2
Korona Kielce,19,7,11
Lech Poznań,19,12,8
Legia Warszawa,19,10,7
ŁKS Łódź,19,2,13
Piast Gliwice,16,14,11
Pogoń Szczecin,15,11,10
Puszcza Niepołomice,21,8,7
Radomiak Radom,15,7,14
Raków Częstochowa,20,11,4
Ruch Chorzów,18,8,12
Stal Mielec,18,9,13
Śląsk Wrocław,18,13,7
Warta Poznań,13,9,15
Widzew Łódź,22,7,6
Zagłębie Lubin,19,9,7
