KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"0,76","1,24",44%,"11,29","3,24","4,35","3,71","28,65%","6,77%","3,76","1,53","3,06","12,71","1,94","0,12",CRA
Górnik Zabrze,"1,29","1,59",51%,"11,53","3,41","4,47","3,65","29,59%","11,22%","4,53","0,76","3,53","12,35","1,88","0,24",GÓR
Jagiellonia,"1,82","1,71",58%,"11,06","4,29","3,88","2,88","38,83%","15,96%","4,59","1,88","2,65","12,00","2,29","0,06",JAG
Korona Kielce,"0,71","1,41",50%,"11,71","3,82","4,00","3,88","32,66%","6,03%","5,18","1,65","2,94","13,53","1,94","0,00",KOR
Lech Poznań,"1,06","1,47",57%,"9,59","3,65","3,29","2,65","38,04%","11,04%","4,82","1,88","3,53","11,53","2,24","0,12",LPO
Legia Warszawa,"1,47","1,29",54%,"11,65","3,65","4,59","3,41","31,31%","11,62%","5,06","1,76","1,18","12,24","2,18","0,18",LEG
ŁKS Łódź,"0,65","2,47",48%,"9,29","2,94","3,59","2,76","31,65%","6,96%","4,06","1,24","3,53","13,94","2,29","0,24",ŁKS
Piast Gliwice,"0,76","1,18",50%,"11,59","3,53","4,82","3,24","30,46%","6,60%","5,29","1,53","2,59","12,00","2,12","0,18",PIA
Pogoń Szczecin,"1,41","0,76",56%,"13,00","4,29","5,00","3,71","33,03%","10,41%","5,18","1,06","3,12","12,35","2,47","0,12",POG
Puszcza Niepołomice,"0,94","1,71",39%,"9,47","2,76","3,82","2,88","29,19%","9,94%","4,41","1,65","4,12","15,82","2,47","0,12",PUN
Radomiak Radom,"1,24","1,76",48%,"12,00","3,94","5,00","3,06","32,84%","10,29%","4,59","1,06","2,65","14,18","2,71","0,35",RAD
Raków Częstochowa,"1,24","1,65",58%,"13,00","4,76","5,00","3,24","36,65%","8,60%","6,41","1,59","2,53","13,41","2,35","0,12",RCZ
Ruch Chorzów,"1,12","1,94",46%,"10,06","3,29","3,65","3,12","32,75%","10,53%","3,88","0,88","3,47","13,29","2,41","0,18",RCH
Stal Mielec,"1,00","1,82",49%,"8,47","2,88","3,41","2,18","34,03%","11,81%","3,41","0,88","3,35","11,29","2,06","0,12",STM
Śląsk Wrocław,"1,35","1,00",43%,"10,18","3,65","3,53","3,00","35,84%","13,29%","2,88","1,71","3,18","11,41","2,47","0,24",ŚLĄ
Warta Poznań,"0,94","1,47",40%,"8,65","2,88","3,12","2,65","33,33%","10,20%","3,00","1,41","3,65","15,12","2,12","0,06",WAR
Widzew Łódź,"1,41","1,47",51%,"10,18","3,29","4,00","2,88","32,37%","13,29%","4,71","1,53","3,53","11,88","2,82","0,06",WID
Zagłębie Lubin,"1,41","1,88",49%,"11,41","4,18","4,53","2,71","36,60%","12,37%","4,47","1,59","3,94","10,12","1,94","0,12",ZAG
