KOL,STRZELEC,DLA,PRZECIW,BRAMKARZ,T/N/O,FAULOWAŁ,FAULOWANY,SĘDZIA
11,Kamil Grosicki,Pogoń Szczecin,Ruch Chorzów,Jakub Bielecki,T,Juliusz Letniowski,ręka,Bartosz Frankowski
12,Afimico Pululu,Jagiellonia Białystok,Zagłębie Lubin,Sokratis Dioudis,T,Tomasz Makowski,Jarosław Kubicki,Bartosz Frankowski
13,Daisuke Yokota,Górnik Zabrze,ŁKS Łódź,Aleksander Bobek,T,Adam Marciniak,Sebastian Musiolik,Szymon Marciniak
13,Kamil Grosicki,Pogoń Szczecin,Jagiellonia,Zlatan Alomerović,T,Michal Sacek,ręka,Piotr Lasyk
13,Daniel Szczepan,Ruch Chorzów,Śląsk Wrocław,Rafał Leszczyński,T,Patryk Janasik,Tomasz Wójtowicz,Paweł Raczkowski
13,Daniel Szczepan,Ruch Chorzów,Śląsk Wrocław,Rafał Leszczyński,T,Rafał Leszczyński,Daniel Szczepan,Paweł Raczkowski
14,Bartłomiej Wdowik,Jagiellonia Białystok,Stal Mielec,Mateusz Kochalski,T,Leandro,Dominik Marczuk,Szymon Marciniak
14,Josue,Legia Warszawa,Radomiak Radom,Albert Posiadała,T,Franmk Castaneda,Paweł Wszołek,Łukasz Kuźma
15,Dani Ramirez,ŁKS Łódź,Piast Gliwice,Frantisek Plach,T,Alexandros Katranis,Adrien Louveau,Paweł Raczkowski
15,Damian Dąbrowski,Zagłębie Lubin,Widzew Łódź,Henrich Ravas,O,Mateusz Żyro,Dawid Kurminowski,Daniel Stefański
15,Nono,Korona Kielce,Jagiellonia Białystok,Zlatan Alomerović,T,Michal Sacek,Martin Remacle,Karol Arys
16,Bartosz Nowak,Raków Częstochowa,Cracovia,Sebastian Madejski,T,Takuto Oshima,Deian Sorescu,Paweł Raczkowski
16,Marton Eppel,Warta Poznań,Legia Warszawa,Kacper Tobiasz,T,Radovan Pankov,Bogdan Tiru,Damian Kos
16,Josue,Legia Warszawa,Warta Poznań,Adrian Lis,T,Dawid Szymonowicz,Ernest Muci,Damian Kos
16,Daisuke Yokota,Górnik Zabrze,Puszcza Niepołomice,Oliwer Zych,T,Michał Koj,Lawrence Ennali,Tomasz Kwiatkowski
16,Jordi Sanchez,Widzew Łódź,Lech Poznań,Bartosz Mrozek,O,Elias Andersson,Fabio Nunes,Damian Sylwestrzak
16,Pedro Henrique,Radomiak Radom,Śląsk Wrocław,Rafał Leszczyński,O,Peter Pokorny,Leandro,Piotr Lasyk
17,Daniel Szczepan,Ruch Chorzów,Cracovia,Sebastian Madejski,T,Otar Kakabadze,ręka,Tomasz Kwiatkowski
17,Karol Knap,Cracovia,Ruch Chorzów,Krzysztof Kamiński,T,Przemysław Szur,ręka,Tomasz Kwiatkowski
17,Josue,Legia Warszawa,Zagłębie Lubin,Szymon Weirauch,T,Bartłomiej Kłudka,ręka,Piotr Lasyk
18,Karol Knap,Cracovia,Stal Mielec,Mateusz Kochalski,T,Krystian Getinger,Patryk Makuch,Damian Sylwestrzak
