KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Jagiellonia,17,39,12,3,2,46,16,30,"2,29","2,71","0,94"
Raków Częstochowa,17,35,10,5,2,33,11,22,"2,06","1,94","0,65"
Górnik Zabrze,17,32,9,5,3,23,14,9,"1,88","1,35","0,82"
Lech Poznań,17,31,9,4,4,29,16,13,"1,82","1,71","0,94"
Śląsk Wrocław,17,31,9,4,4,27,14,13,"1,82","1,59","0,82"
Legia Warszawa,17,30,8,6,3,26,17,9,"1,76","1,53","1,00"
Stal Mielec,17,30,8,6,3,25,17,8,"1,76","1,47","1,00"
Pogoń Szczecin,17,29,9,2,6,35,25,10,"1,71","2,06","1,47"
Puszcza Niepołomice,17,29,7,8,2,23,20,3,"1,71","1,35","1,18"
Piast Gliwice,17,28,7,7,3,25,15,10,"1,65","1,47","0,88"
Widzew Łódź,17,28,9,1,7,21,21,0,"1,65","1,24","1,24"
Korona Kielce,17,26,6,8,3,28,20,8,"1,53","1,65","1,18"
Zagłębie Lubin,17,26,7,5,5,19,18,1,"1,53","1,12","1,06"
Cracovia,17,22,5,7,5,32,25,7,"1,29","1,88","1,47"
ŁKS Łódź,17,20,5,5,7,23,33,-10,"1,18","1,35","1,94"
Warta Poznań,17,20,5,5,7,17,18,-1,"1,18","1,00","1,06"
Ruch Chorzów,17,19,4,7,6,21,22,-1,"1,12","1,24","1,29"
Radomiak Radom,17,17,4,5,8,20,28,-8,"1,00","1,18","1,65"
